DATE,COURSE,RACE,CLASS,DISTANCE,PRIZEMONEY,GOING,TIME1,TIME2,TIME3,TIME4,TIME5,TIME6,RACE_SECTIONAL1,RACE_SECTIONAL2,RACE_SECTIONAL3,RACE_SECTIONAL4,RACE_SECTIONAL5,RACE_SECTIONAL6,PLC,NO,HORSE,JOCKEY,TRAINER,AC Weight,Horse Weight,Draw,LBW,Run,Time,Odds,SECTIONAL1,SECTIONAL2,SECTIONAL3,SECTIONAL4,SECTIONAL5,SECTIONAL6,COMMENT
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,11,9,AGIAAL|(N177),A Atzeni,A Schutz,123,1058,11,9-3/4,14-11-11-10-11,1:49.71,29,14.53,21.85,24.17,24.27,24.89,,Settled on fence behind midfield. Ran on without threatening in the straight.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,12,3,RED PEONY|(T014),N Rawiller,S Woods,133,1110,3,11,3-6-9-13-12,1:49.93,99,13.93,22.13,24.37,24.39,25.11,,Settled 2-wide at midfield. Wide turn home and never picked up in the straight.
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,13,14,MALAYAN PEARL|(N416),M Chadwick,D Cruz,113,1187,6,21,1-3-5-12-13,1:51.50,14,13.85,22.01,24.25,24.71,26.68,,Early lead and then settle behind the pace 1200M. Lacked response when asked before checking at home turn. Dropped out thereafter (bled).
14/12/2014,"TURF - ""A"" Course",2,Class 3,1800M,"1,060,000",GOOD TO FIRM,13.85,35.66,59.75,1:24.30,1:48.16,,13.85,21.81,24.09,24.55,23.86,0,14,2,PRESIDENT LINCOLN|(N267),O Doleuze,C S Shum,133,1157,4,22-1/2,5-2-2-7-14,1:51.76,41,14.01,21.73,24.05,24.83,27.14,,"Niggled along and eventually settling outside the lead. Disputed lead turning for home but struck itself, became badly unbalanced and dropped out."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,1,12,EROICO|(T009),J Moreira,J Size,116,1164,13,-,22-1,1:09.54,2.8,23.58,22.51,23.45,,,,"Rolled forward to settle 1L off outside the leader, ran on well to score by 1/2L."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,2,4,TONYBOY|(S101),M Demuro,A T Millard,128,1173,7,1/2,12-13-2,1:09.63,10,24.46,22.51,22.66,,,,"At rear, travelled 6Ls behind the leader on the fence, could not find a day night until final furlong, dashed strongly thereafter to get 2nd."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,3,5,TANGO FIRE|(S081),N Rawiller,J Moore,127,1065,11,1,10-9-3,1:09.72,17,24.22,22.39,23.11,,,,"Eased back from the outside barrier, settled 4.5Ls behind the leader 3 wide with cover, ran on nicely for 3rd."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,4,6,BRILLIANT DREAM|(S203),B Prebble,D J Hall,126,1123,5,1-3/4,5-3-4,1:09.81,2.8,23.74,22.51,23.56,,,,"Pushed forward to obtain the box seat, kept on one pace to the line."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,5,1,GOLDEN DEER|(P121),Z Purton,T P Yung,133,1119,2,2-3/4,6-8-5,1:09.97,5.5,23.90,22.71,23.36,,,,"Raced midfield, travelled 3Ls behind the leader 2 wide with cover, ran on steadily."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,6,3,CHATER LEGEND|(T151),A Atzeni,D E Ferraris,128,1039,4,2-3/4,1414-6,1:09.97,99,24.62,22.51,22.84,,,,"At last, settled 7Ls behind the leader on the fence, swung wide turning in, dashed well."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,7,9,REAL SUPREME|(L247),M Chadwick,A S Cruz,120,1177,1,5-1/4,8-7-7,1:10.37,33,23.98,22.55,23.84,,,,"Pushed forward to settle in midfield, 3Ls behind the leader on the fence, kept on one pace until 100M weakened."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,8,11,GRIMMY|(P079),C Reith,T K Ng,119,1130,9,5-3/4,7-6-8,1:10.45,83,23.94,22.51,24.00,,,,"Raced midfield, travelled 3Ls behind the leader 3 wide with cover, never ran on."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,9,8,DASHING CERAMIBO|(T121),U Rispoli,C S Shum,121,1200,10,6,11-9,1:10.51,26,23.50,22.55,24.46,,,,"Hard ridden forward to take the fence and led by 1L, kept on until 300M weakened."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,10,13,CHEERS JOY|(N184),K C Ng,C H Yip,110,1073,6,6-1/2,9-11-10,1:10.56,99,24.18,22.63,23.75,,,,"Settled worse than midfield, travelled 5Ls behind the leader 2 wide with cover, never ran on."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,11,10,GRAN BOLIVAR|(S165),K Teetan,Y S Tsui,118,988,3,6-3/4,11-1011,1:10.64,66,24.26,22.51,23.87,,,,"Settled worse than midfield, travelled 5Ls behind the leader on the fence, never looked likely."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,12,7,HARBOUR VICTORY|(T016),G Mosse,D Cruz,122,1162,8,6-3/4,13-12-12,1:10.64,71,24.50,22.35,23.79,,,,"At rear, travelled 6Ls behind the leader 2 wide with cover, rider's stirrup leather broken 350M, because of that not able to ride out thereafter."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,13,14,JOYFUL THE GREAT|(N407),H W Lai,A Lee,113,1060,12,7-1/2,4-5-13,1:10.75,99,23.74,22.71,24.30,,,,"Rolled forward to settle 2Ls behind the leader 2 wide with cover, kept on until 250M flattened."
14/12/2014,"TURF - ""A"" Course",3,Class 3,1200M,"1,060,000",GOOD TO FIRM,23.50,46.05,1:09.54,,,,23.50,22.55,23.49,0,0,0,14,2,SKY MAN|(S091),N Callan,P F Yiu,130,1134,14,10-1/2,3-4-14,1:11.21,21,23.70,22.59,24.92,,,,"Sent forward, however trapped 3 wide without cover throughout, soon flattened after straightening."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,1,1,FLINTSHIRE|(T615),M Guyon,A Fabre,126,1070,4,-,7777-8-1,2:29.83,2.1,27.07,26.63,26.54,24.51,22.66,22.42,"Settled 1 off with cover behind midfield, strong traveller, fanned wide home turn & driven, quickened impressively to lead 200m, hung in a touch, held on at wire."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,2,8,WILLIE CAZALS|(N119),D Whyte,A S Cruz,126,1049,3,1/2,10101010-9-2,2:29.92,6.4,27.31,26.63,26.54,24.51,22.70,22.23,"Taken back to near tail 1 off with cover, overraced early, strong traveller & driven 430m, shifted wide 400m, quickened in pursuit, closing at line."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,3,10,KHAYA|(P289),M Demuro,J Size,126,1072,10,1-3/4,11111-3,2:30.10,15,26.27,26.31,26.70,24.83,22.86,23.13,"Smart break, soon led, to rail 1650m & set steady pace, shaken up 850m, pressed turning in, all out & headed 200m, battled on to wire."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,4,2,DOMINANT|(N169),J Moreira,J Moore,126,1086,2,2,8-988-5-4,2:30.17,9.4,27.23,26.59,26.50,24.51,22.50,22.84,"Snagged to race rail behind midfield, driven 420m & shifted 1 off, good progress & back to fence 260m, kept on evenly closing stages."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,5,3,CURREN MIROTIC|(T616),K Ikezoe,O Hirata,126,1004,6,2-3/4,3-4-4-2-2-5,2:30.29,37,26.63,26.51,26.62,24.51,22.78,23.24,"Broke well, raced easily in 4th 1 off with cover, shifted 3 wide 900m & moved upside leader 800m, pressed lead into stretch, peaked 250m & tapered."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,6,5,RED CADEAUX|(N618),G Mosse,E A L Dunlop,126,1079,7,2-3/4,66-5-566,2:30.29,8.2,26.83,26.59,26.54,24.59,22.82,22.92,"Broke OK, raced 1 off with cover midfield, shifted 3 wide 800m, hard-ridden turning in, outpaced but stayed on gamely."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,7,12,SNOW SKY|(T620),R Moore,Sir M R Stoute,121,1013,5,4-3/4,55-6-6-7-7,2:30.58,5,26.83,26.39,26.78,24.59,22.82,23.17,"Broke well, keen early, covered up midfield on rail, shifted 1 off & niggled 800m, hard-ridden 400m & outpaced, kept on evenly."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,8,4,EMPOLI|(T617),A de Vries,P Schiergen,126,1040,11,6-3/4,1111111111-8,2:30.91,45,27.59,26.63,26.46,24.43,22.82,22.98,"Missed break & detached, soon closed to race at tail 3 wide with cover, travelled easily until driven 400m, tapped for toe, plugged on one pace."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,9,6,BUBBLE CHIC|(N369),K Teetan,D J Hall,126,1004,8,8-1/2,2-32-3-4-9,2:31.18,54,26.43,26.47,26.62,24.75,22.98,23.93,"Sharp start to dispute early lead, soon settled 3rd 1 off with cover, ridden 700m & under pressure, all out turning in, faded in run."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,10,7,PARISH HALL|(T618),K Manning,J S Bolger,126,1121,9,8-3/4,9-899-10-10,2:31.23,92,27.27,26.51,26.66,24.43,22.98,23.38,"Slow start, 3 wide no cover near rail, niggled 900m, driven 800m, widest into stretch, emptied tamely."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,11,9,RAINBOW CHIC|(P118),B Prebble,C Fownes,126,1112,1,28-1/4,4-2-34-3-11,2:34.34,66,26.71,26.07,26.82,24.75,22.86,27.13,"Smart break, overraced early, settled 1 back on rail, overraced 1350m, hard-ridden 450m, found nothing & weakened, eased in run."
14/12/2014,"TURF - ""A"" Course",4,Group One,2400M,"16,500,000",GOOD TO FIRM,26.27,52.58,1:19.28,1:44.11,2:06.97,2:29.83,26.27,26.31,26.70,24.83,22.86,22.86,WV,11,WAYFOONG EXPRESS|(P262),Z Purton,R Gibson,126,---,---,---,,---,---,,,,24.75,22.86,27.13
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,1,9,AEROVELOCITY|(P069),Z Purton,P O'Sullivan,126,1192,7,-,111,1:08.57,3.9,23.36,22.31,22.90,,,,"Speed to lead, crossed to rail 1000m, set solid tempo, pressed turning in, waited with until shaken up 330m, kicked on & battled home under strong drive."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,2,8,PENIAPHOBIA|(S143),D Whyte,A S Cruz,126,1132,6,N,5-3-2,1:08.63,2.8,23.56,22.31,22.76,,,,"Broke well, settled 1 off 1 back, smooth traveller, shifted 3 wide & driven in 3rd 400m, quickened to 2nd 250m, pressed lead but always held."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,3,13,STRAIGHT GIRL|(T606),Y Iwata,H Fujiwara,122,1010,13,1,7-6-3,1:08.75,55,23.88,22.15,22.72,,,,"Broke OK, worked from wide gate to sit 1 off with cover fore of midfield, shifted wide & driven 430m, quickened to 3rd 200m, held but battled on."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,4,6,GORDON LORD BYRON|(P606),W Lordan,T A Hogan,126,1060,2,1-1/2,6-7-4,1:08.82,54,23.76,22.31,22.75,,,,"Broke OK, bustled early to race rail fore of midfield, driven turning in, ran on soundly."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,5,12,GOLDEN HARVEST|(N236),R Moore,A T Millard,126,1183,14,3-1/4,13-12-5,1:09.08,21,24.60,21.95,22.53,,,,"Broke well wide, taken back to 3 wide near tail, driven centre track 420m, quickened & closed doggedly for solid inroads."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,6,5,BUFFERING|(T604),D Browne,R Heathcote,126,1131,8,3-3/4,22-6,1:09.16,42,23.40,22.27,23.49,,,,"Fast break, raced outside lead in close 2nd, vied for lead turning in, driven 370m, outpaced & tapered to wire."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,7,10,SMART VOLATILITY|(P049),G Mosse,K W Lui,126,1190,12,3-3/4,12-13-7,1:09.18,8.2,24.48,22.23,22.47,,,,"Smart start wide, snagged to 1 off near tail, ridden 430m, & ran home well centre track for minor late gains."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,8,7,SNOW DRAGON|(T605),T Ono,N Takagi,126,1119,10,4-1/2,1414-8,1:09.31,62,24.76,22.03,22.52,,,,"Tardy start, raced at tail 1 off, switched 3 wide 600m, widest turning in, driven 350m, quickened & ran on centre track for minor headway."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,9,3,SOLE POWER|(N604),R Hughes,E M Lynam,126,999,5,4-3/4,999,1:09.33,39,24.16,22.23,22.94,,,,"Snagged back to 3 wide with cover midfield, ill-at-ease on turn, pushed widest turning & driven, kept on evenly, never a threat."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,10,4,STERLING CITY|(N152),J Moreira,J Moore,126,1066,3,5-1/2,88-10,1:09.44,13,24.12,22.15,23.17,,,,"Sharp start, soon outpaced & backpedalled, scrubbed along midfield 1 off, wide home turn & driven, one-paced & tapered out."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,11,1,LUCKY NINE|(L259),B Prebble,C Fownes,126,1105,4,5-1/2,3-4-11,1:09.45,5.4,23.56,22.35,23.54,,,,"Pace at break, sat 1 back on rail, every chance when driven 430m but found nothing & weakened tamely."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,12,2,SPALATO|(T601),M Nunes,J O'Hara,126,1115,11,7-1/4,4-5-12,1:09.73,30,23.56,22.39,23.78,,,,"Bustled early to race handy 3 wide no cover, progress to 3rd on turn, driven 420m, soon emptied & wilted."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,13,11,FLAGSHIP SHINE|(P104),N Rawiller,J Moore,126,1263,9,8-3/4,10-11-13,1:09.99,37,24.24,22.27,23.48,,,,"Awkward start, settled 3 wide with cover behind midfield, ridden 420m, outpaced & struggled in run."
14/12/2014,"TURF - ""A"" Course",5,Group One,1200M,"18,500,000",GOOD TO FIRM,23.36,45.67,1:08.57,,,,23.36,22.31,22.90,0,0,0,14,14,LITTLE GERDA|(T607),M Demuro,I Sameshima,122,1099,1,13-3/4,11-10-14,1:10.77,50,24.36,22.11,24.30,,,,"Tardy start, raced rail behind midfield, shifted out & driven 420m, found nothing & eased 250m."
14/12/2014,"TURF - ""A"" Course",6,Class 2,1200M,"1,500,000",GOOD TO FIRM,23.73,45.82,1:08.88,,,,23.73,22.09,23.06,0,0,0,1,10,LET ME GO|(P215),A Atzeni,J Moore,117,1166,2,-,8-9-1,1:08.88,10,24.53,21.97,22.38,,,,"Settled in midfield, 5.5Ls off the good pace along the fence, progressed steadily 300M to score."
14/12/2014,"TURF - ""A"" Course",6,Class 2,1200M,"1,500,000",GOOD TO FIRM,23.73,45.82,1:08.88,,,,23.73,22.09,23.06,0,0,0,2,6,KEY WITNESS|(S212),D Whyte,A S Cruz,121,1177,4,1/2,3-2-2,1:08.96,3.5,24.01,21.93,23.02,,,,"Occupied a comparatively more prominent spot in front, 2Ls off the good pace 2 wide, led 300M, ran on well until 100M overhauled."
14/12/2014,"TURF - ""A"" Course",6,Class 2,1200M,"1,500,000",GOOD TO FIRM,23.73,45.82,1:08.88,,,,23.73,22.09,23.06,0,0,0,3,4,HELENE HAPPY STAR|(T104),H Bowman,J Moore,122,1121,13,1,11-10-3,1:09.04,17,25.01,21.65,22.38,,,,"Eased at start, took cover at rear, 8Ls off the good pace 2-3 wide, lack room 400M, progressed steadily when clear."
